,movie_title,title_year,director_name,actor_1_name,duration,facenumber_in_poster,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes
353,Flightplan,2005,Robert Schwentke,Erika Christensen,98,0.5,55000000,89706988,6.2,126746,600,231,124,0,931,2287
356,Bowfinger,1999,Frank Oz,Robert Downey Jr.,85,2.0,55000000,66365290,6.4,56874,358,140,0,0,21000,22458
357,Kill Bill: Vol. 2,2004,Quentin Tarantino,Vivica A. Fox,137,0.5,30000000,66207920,8.0,512749,935,304,16000,0,890,1959
360,Shanghai Noon,2000,Tom Dey,Xander Berkeley,110,2.0,55000000,56932305,6.6,96690,293,146,9,0,485,939
361,Executive Decision,1996,Stuart Baird,Oliver Platt,133,0.5,55000000,68750000,6.4,40858,144,60,53,0,1000,2916
362,Mr. Popper's Penguins,2011,Mark Waters,Madeline Carroll,94,0.5,55000000,68218041,6.0,67191,108,189,70,14000,1000,2820
363,The Forbidden Kingdom,2008,Rob Minkoff,Jet Li,104,0.5,55000000,25040293,6.6,88049,279,206,50,0,5000,7247
366,Evita,1996,Alan Parker,Andrea Corr,135,0.5,55000000,49994804,6.3,29205,194,76,317,0,57,164
367,Ronin,1998,John Frankenheimer,Robert De Niro,122,2.0,55000000,41609593,7.3,145422,572,149,287,0,22000,24270
368,The Ghost and the Darkness,1996,Stephen Hopkins,Tom Wilkinson,110,0.5,55000000,38553833,6.8,46239,155,62,81,0,1000,1752
369,Paddington,2014,Paul King,Julie Walters,95,0.5,55000000,76137505,7.2,49207,174,224,17,30000,838,3697
371,The Hunted,2003,William Friedkin,Connie Nielsen,94,0.5,55000000,34238611,6.0,35830,321,135,607,0,933,2248
372,Instinct,1999,Jon Turteltaub,Anthony Hopkins,126,0.5,55000000,34098563,6.5,27191,232,100,226,0,12000,13406
375,The Pirates! Band of Misfits,2012,Peter Lord,Salma Hayek,88,0.5,55000000,31051126,6.7,36877,101,238,91,0,4000,6254
376,Changeling,2008,Clint Eastwood,Angelina Jolie Pitt,141,0.5,55000000,35707327,7.8,199056,387,264,16000,14000,11000,12840
379,The Phantom of the Opera,2004,Joel Schumacher,Gerard Butler,143,0.5,70000000,51225796,7.4,96654,2047,153,541,0,18000,20660
380,Elizabeth: The Golden Age,2007,Shekhar Kapur,Eddie Redmayne,114,0.5,55000000,16264475,6.9,54787,216,202,159,0,13000,16899
382,Gods and Generals,2003,Ron Maxwell,Billy Campbell,280,0.5,56000000,12870569,6.3,13215,497,84,33,953,789,1671
385,Muppets Most Wanted,2014,James Bobin,Ty Burrell,119,2.0,50000000,51178893,6.4,24285,110,277,33,10000,3000,6089
387,Burlesque,2010,Steve Antin,Eric Dane,119,0.5,55000000,39440655,6.4,61680,222,197,59,19000,2000,4315
388,Blade II,2002,Guillermo del Toro,Norman Reedus,117,0.5,54000000,81645152,6.7,158267,559,224,0,0,12000,15371
389,Seven Pounds,2008,Gabriele Muccino,Will Smith,123,0.5,55000000,69951824,7.7,232710,599,202,125,26000,10000,14727
392,Elizabethtown,2005,Cameron Crowe,Orlando Bloom,123,0.5,57000000,26838389,6.4,58658,495,190,488,0,5000,12700
395,Anastasia,1997,Don Bluth,Kirsten Dunst,94,0.5,50000000,58297830,7.1,86347,191,78,383,0,4000,6017
396,Moulin Rouge!,2001,Baz Luhrmann,Jim Broadbent,127,0.5,52500000,57386369,7.6,224013,2319,209,1000,10000,1000,2601
398,Flags of Our Fathers,2006,Clint Eastwood,Paul Walker,135,0.5,90000000,33574332,7.1,101221,415,279,16000,0,23000,24468
399,Law Abiding Citizen,2009,F. Gary Gray,Gerard Butler,118,0.5,50000000,73343413,7.4,217480,429,216,473,21000,18000,22517
400,Grindhouse,2007,Robert Rodriguez,Quentin Tarantino,189,0.5,53000000,25031037,7.6,155496,532,250,0,0,16000,22186
403,Zero Dark Thirty,2012,Kathryn Bigelow,Jennifer Ehle,157,0.5,40000000,95720716,7.4,216032,640,558,0,39000,1000,2759
407,The Thin Red Line,1998,Terrence Malick,Nick Stahl,215,0.5,52000000,36385763,7.6,138941,1448,156,0,0,648,1937
408,The Change-Up,2011,David Dobkin,Ryan Reynolds,118,2.0,52000000,37035845,6.4,136680,149,215,71,13000,16000,28045
409,Man on the Moon,1999,Milos Forman,Matt Price,118,0.5,52000000,34580635,7.4,100743,549,140,869,0,134,209
412,"Me, Myself & Irene",2000,Bobby Farrelly,Robert Forster,116,0.5,51000000,90567722,6.5,185878,481,155,101,0,889,1711
413,The Adjustment Bureau,2011,George Nolfi,Matt Damon,106,2.0,50200000,62453315,7.1,200035,407,413,53,36000,13000,14607
414,Anchorman 2: The Legend Continues,2013,Adam McKay,Harrison Ford,143,2.0,50000000,2175312,6.3,131227,346,272,285,41000,11000,28176
416,Super 8,2011,J.J. Abrams,Joel Courtney,112,0.5,50000000,126975169,7.1,287822,849,539,14000,37000,1000,3388
417,Erin Brockovich,2000,Steven Soderbergh,Julia Roberts,131,0.5,52000000,125548685,7.3,135246,498,169,0,0,8000,10003
418,How to Lose a Guy in 10 Days,2003,Donald Petrie,Matthew McConaughey,116,2.0,50000000,105807520,6.4,156717,357,140,80,0,11000,14087
420,Yes Man,2008,Peyton Reed,Bradley Cooper,104,0.5,70000000,97680195,6.8,271691,243,190,235,0,14000,29505
421,Central Intelligence,2016,Rawson Marshall Thurber,Dwayne Johnson,107,2.0,50000000,126088877,6.6,33354,110,177,43,10000,12000,14569
422,Stepmom,1998,Chris Columbus,Julia Roberts,124,2.0,50000000,91030827,6.7,46482,252,65,0,0,8000,9988
423,Inside Man,2006,Spike Lee,Denzel Washington,129,2.0,45000000,88504640,7.6,273108,646,230,0,0,18000,19148
424,Payback,1999,Brian Helgeland,Bill Duke,90,0.5,50000000,81517441,7.1,111368,394,143,241,0,1000,3148
426,Knowing,2009,Alex Proyas,Nicolas Cage,121,0.5,50000000,79948113,6.2,186879,791,279,295,0,12000,13421
430,Moneyball,2011,Bennett Miller,Philip Seymour Hoffman,133,0.5,50000000,75605492,7.6,283563,312,419,152,27000,22000,53094
431,Outbreak,1995,Wolfgang Petersen,Kevin Spacey,127,2.0,50000000,67823573,6.6,91176,130,64,249,0,18000,30383
432,Non-Stop,2014,Jaume Collet-Serra,Liam Neeson,106,0.5,50000000,91439400,7.0,200647,384,359,174,24000,14000,16967
435,Shanghai Knights,2003,David Dobkin,Fann Wong,114,2.0,50000000,60470220,6.2,81444,192,165,71,955,154,428
436,Curious George,2006,Matthew O'Callaghan,Will Ferrell,78,0.5,50000000,58336565,6.6,12845,118,87,5,624,8000,11124
438,Don't Say a Word,2001,Gary Fleder,Oliver Platt,113,0.5,50000000,54997476,6.3,40362,248,113,39,970,1000,3341
439,Unfaithful,2002,Adrian Lyne,Olivier Martinez,124,0.5,50000000,52752475,6.7,63067,533,152,213,0,838,2583
440,I Am Number Four,2011,D.J. Caruso,Alex Pettyfer,109,0.5,60000000,55092830,6.1,195043,329,288,154,27000,15000,15608
441,Syriana,2005,Stephen Gaghan,Matt Damon,128,0.5,50000000,50815288,7.0,109188,625,358,79,0,13000,14747
442,13 Hours,2016,Michael Bay,Toby Stephens,144,0.5,50000000,52822418,7.4,47764,219,204,0,44000,769,3580
443,The Book of Life,2014,Jorge R. Gutirrez,Channing Tatum,95,0.5,50000000,50150619,7.3,45580,102,156,34,18000,17000,19513
444,Absolute Power,1997,Clint Eastwood,Clint Eastwood,121,0.5,50000000,50007168,6.7,39529,142,76,16000,1000,16000,19139
446,The Game,1997,David Fincher,Deborah Kara Unger,129,0.5,50000000,48265581,7.8,261069,506,157,21000,25000,495,1397
447,Silent Hill,2006,Christophe Gans,Radha Mitchell,132,0.5,50000000,46982632,6.6,172792,1740,267,50,0,992,1933
448,The Replacements,2000,Howard Deutch,Keanu Reeves,118,0.5,50000000,44737059,6.5,48322,261,118,41,0,18000,24024
449,American Reunion,2012,Jon Hurwitz,Alyson Hannigan,113,2.0,50000000,56724080,6.7,172112,181,291,22,39000,3000,8398
453,The Judge,2014,David Dobkin,Robert Downey Jr.,141,0.5,50000000,47105085,7.4,136973,275,276,71,47000,21000,30183
456,Out of Time,2003,Carl Franklin,Denzel Washington,114,2.0,50000000,40905277,6.5,45895,157,124,73,1000,18000,19739
459,The Beach,2000,Danny Boyle,Leonardo DiCaprio,119,0.5,50000000,39778599,6.6,176169,548,118,0,0,29000,29461
460,Raising Helen,2004,Garry Marshall,Amber Valletta,119,0.5,50000000,37486138,6.0,30890,106,93,0,718,627,2052
461,Ninja Assassin,2009,James McTeigue,Sh Kosugi,99,0.5,40000000,38105077,6.4,58349,194,235,160,0,330,701
462,For Love of the Game,1999,Sam Raimi,J.K. Simmons,137,0.5,50000000,35168395,6.5,26034,226,113,0,0,24000,25469
465,Hereafter,2010,Clint Eastwood,Matt Damon,129,0.5,50000000,32741596,6.5,80140,323,315,16000,16000,13000,14344
466,Hannibal Rising,2007,Peter Webber,Li Gong,131,0.5,50000000,27667947,6.2,86374,392,209,73,3000,879,1344
469,Blood Work,2002,Clint Eastwood,Clint Eastwood,110,0.5,50000000,26199517,6.4,34356,260,146,16000,705,16000,18635
470,The International,2009,Tom Tykwer,Naomi Watts,118,0.5,50000000,25450527,6.5,80196,190,245,670,0,6000,7654
472,The Iron Giant,1999,Brad Bird,Vin Diesel,90,0.5,70000000,23159305,8.0,128455,514,162,663,0,14000,16358
473,The Life Aquatic with Steve Zissou,2004,Wes Anderson,Bill Murray,119,2.0,50000000,24006726,7.3,139535,632,259,0,0,13000,15757
474,Free State of Jones,2016,Gary Ross,Matthew McConaughey,139,0.5,50000000,20389967,6.7,3077,47,79,378,10000,11000,12786
475,The Life of David Gale,2003,Alan Parker,Kevin Spacey,130,0.5,50000000,19593740,7.5,88270,420,141,317,0,18000,32637
477,Run All Night,2015,Jaume Collet-Serra,Liam Neeson,114,2.0,50000000,26442251,6.6,76010,205,236,174,15000,14000,16992
478,Eastern Promises,2007,David Cronenberg,Viggo Mortensen,96,0.5,25000000,17114882,7.7,189249,398,356,0,0,10000,17211
481,Dream House,2011,Jim Sheridan,Naomi Watts,84,0.5,55000000,21283440,6.0,46239,137,174,260,0,6000,8018
482,Mad City,1997,Costa-Gavras,Mia Kirshner,115,2.0,50000000,10556196,6.2,16562,73,59,333,697,972,2606
485,Fair Game,2010,Doug Liman,Naomi Watts,108,2.0,22000000,9528092,6.8,38513,127,214,218,9000,6000,10191
488,Beautiful Creatures,2013,Richard LaGravenese,Alden Ehrenreich,124,2.0,60000000,19445217,6.2,67796,258,231,98,14000,1000,3580
496,Traffic,2000,Steven Soderbergh,Michael O'Neill,190,0.5,48000000,124107476,7.6,170684,867,223,0,0,599,1418
497,Chappie,2015,Neill Blomkamp,Hugh Jackman,120,0.5,49000000,31569268,6.9,172965,627,371,662,67000,20000,23051
498,The Bone Collector,1999,Phillip Noyce,Denzel Washington,118,2.0,48000000,66488090,6.7,120202,397,75,176,0,18000,29748
499,Panic Room,2002,David Fincher,Kristen Stewart,112,0.5,48000000,95308367,6.8,206104,850,233,21000,0,17000,18141
500,Three Kings,1999,David O. Russell,Judy Greer,114,0.5,48000000,60652036,7.1,137854,560,150,737,3000,2000,3743
501,Rat Race,2001,Jerry Zucker,Corinna Harney,112,2.0,48000000,56607223,6.4,93367,497,103,109,0,779,1823
502,K-PAX,2001,Iain Softley,Kevin Spacey,120,0.5,48000000,50173190,7.4,148490,537,140,34,0,18000,33615
503,Kate & Leopold,2001,James Mangold,Hugh Jackman,123,0.5,48000000,47095453,6.4,64595,316,125,446,0,20000,22209
504,Bedazzled,2000,Harold Ramis,Brendan Fraser,93,2.0,48000000,37879996,6.0,81888,254,125,11000,0,3000,5390
506,3:10 to Yuma,2007,James Mangold,Christian Bale,122,0.5,55000000,53574088,7.8,237872,560,295,446,0,23000,33548
507,Out of Sight,1998,Steven Soderbergh,Don Cheadle,123,0.5,48000000,37339525,7.0,71708,307,158,0,0,3000,3768
508,The Cable Guy,1996,Ben Stiller,Matthew Broderick,96,0.5,47000000,60154431,6.0,122347,345,72,0,0,2000,3718
509,The Thomas Crown Affair,1999,John McTiernan,Mark Margolis,113,0.5,48000000,69304264,6.8,73068,419,152,323,0,1000,4660
510,Riding in Cars with Boys,2001,Penny Marshall,Rosie Perez,132,0.5,48000000,29781453,6.4,22447,210,89,545,0,919,4796
513,My Best Friend's Wedding,1997,P.J. Hogan,Julia Roberts,105,0.5,46000000,126805112,6.3,98199,169,84,29,0,8000,12344
515,Insomnia,2002,Christopher Nolan,Al Pacino,118,0.5,46000000,67263182,7.2,218771,651,185,22000,0,14000,15658
516,Star Trek: First Contact,1996,Jonathan Frakes,LeVar Burton,111,2.0,45000000,92001027,7.6,97838,286,143,906,3000,1000,6315
518,Courage Under Fire,1996,Edward Zwick,Denzel Washington,116,0.5,46000000,58918501,6.6,40126,107,65,380,975,18000,33233
519,The Infiltrator,2016,Brad Furman,Joseph Gilgun,127,0.5,25000000,14946229,7.3,2581,29,72,65,0,788,2104
522,Miss Congeniality,2000,Donald Petrie,Candice Bergen,109,0.5,45000000,106807667,6.2,137377,370,140,80,0,545,1574
527,The Bucket List,2007,Rob Reiner,Morgan Freeman,97,0.5,45000000,93452056,7.4,184795,310,207,0,22000,11000,14868
530,Training Day,2001,Antoine Fuqua,Denzel Washington,122,2.0,45000000,76261036,7.7,305929,633,109,845,0,18000,22370
531,Galaxy Quest,1999,Dean Parisot,Alan Rickman,102,2.0,45000000,71423726,7.3,123558,609,213,23,19000,25000,26998
533,The Muppets,2011,James Bobin,Bill Cobbs,103,2.0,45000000,88625922,7.1,75176,252,398,33,26000,970,1336
534,Blade,1998,Stephen Norrington,Sanaa Lathan,110,0.5,45000000,70001065,7.1,191437,582,184,45,0,886,3174
535,Coach Carter,2005,Thomas Carter,Channing Tatum,136,0.5,30000000,67253092,7.2,92702,209,127,49,0,17000,20299
536,Changing Lanes,2002,Roger Michell,Sydney Pollack,91,0.5,45000000,66790248,6.5,57281,350,167,50,0,521,758
539,Love Actually,2003,Richard Curtis,Colin Firth,129,2.0,45000000,59365105,7.7,318634,1004,218,628,52000,14000,28886
540,Tin Cup,1996,Ron Shelton,Don Johnson,135,0.5,45000000,53854588,6.3,37911,73,48,41,1000,982,3648
542,The Hitchhiker's Guide to the Galaxy,2005,Garth Jennings,Zooey Deschanel,109,0.5,50000000,51019112,6.8,155745,1053,276,37,10000,11000,14073
544,Last Holiday,2006,Wayne Wang,LL Cool J,112,0.5,45000000,38360195,6.4,21215,116,99,61,0,1000,3757
547,Savages,2012,Oliver Stone,Demin Bichir,141,2.0,45000000,47307550,6.5,104301,269,339,0,28000,749,1948
548,Cellular,2004,David R. Ellis,Richard Burgi,94,0.5,25000000,32003620,6.5,79141,355,127,160,2000,550,1102
549,Johnny English,2003,Peter Howitt,Kevin McNally,87,0.5,35000000,27972410,6.1,114692,285,122,29,2000,427,1461
552,Across the Universe,2007,Julie Taymor,Jim Sturgess,133,0.5,45000000,24343673,7.4,91860,524,156,278,14000,5000,5405
553,Revolutionary Road,2008,Sam Mendes,Leonardo DiCaprio,119,0.5,35000000,22877808,7.3,152591,414,323,0,0,29000,53895
555,Multiplicity,1996,Harold Ramis,John de Lancie,117,0.5,45000000,20101861,6.0,24757,81,43,11000,0,905,2348
557,The Pledge,2001,Sean Penn,Costas Mandylor,124,0.5,45000000,19719930,6.8,42621,531,150,0,0,723,793
558,The Producers,2005,Susan Stroman,Jon Lovitz,134,2.0,45000000,19377727,6.4,35140,409,168,38,0,11000,24351
561,Nixon,1995,Oliver Stone,Anthony Hopkins,212,0.5,50000000,13560960,7.1,23996,161,83,0,915,12000,21130
562,Deep Rising,1998,Stephen Sommers,Djimon Hounsou,106,0.5,45000000,11146409,6.0,26551,273,106,208,0,3000,6558
563,Miracle at St. Anna,2008,Spike Lee,Joseph Gordon-Levitt,160,0.5,45000000,7916887,6.0,15697,182,158,0,0,23000,26982
565,Big Trouble,2002,Barry Sonnenfeld,Zooey Deschanel,74,2.0,40000000,7262288,6.5,17307,186,87,188,892,11000,13917
566,Love in the Time of Cholera,2007,Mike Newell,Marcela Mar,139,0.5,45000000,4584886,6.4,19114,115,115,179,0,267,538
568,Johnny English Reborn,2011,Oliver Parker,Daniel Kaluuya,101,0.5,45000000,8129455,6.3,89568,142,152,32,17000,219,661
570,Sleepers,1996,Barry Levinson,Robert De Niro,147,2.0,44000000,53300852,7.5,154487,259,73,272,0,22000,37076
573,Underworld: Evolution,2006,Len Wiseman,Sophia Myles,102,0.5,50000000,62318875,6.8,156225,502,206,235,0,956,2998
574,Victor Frankenstein,2015,Paul McGuigan,Daniel Radcliffe,110,2.0,40000000,5773519,6.0,28618,91,159,118,11000,11000,12876
575,Finding Forrester,2000,Gus Van Sant,F. Murray Abraham,136,0.5,43000000,51768623,7.3,73006,297,137,835,0,670,1801
576,28 Days,2000,Betty Thomas,Steve Buscemi,103,0.5,43000000,37035515,6.0,34597,194,116,84,0,12000,23864
578,Charlie St. Cloud,2010,Burr Steers,Augustus Prew,99,0.5,44000000,31136950,6.5,47364,75,117,23,0,405,1066
579,The Mechanic,2011,Simon West,Jason Statham,93,0.5,40000000,29113588,6.6,117999,181,252,165,16000,26000,27834
580,Notting Hill,1999,Roger Michell,Julia Roberts,124,0.5,42000000,116006080,7.0,203269,602,150,50,11000,8000,9255
581,Chicken Run,2000,Peter Lord,Imelda Staunton,84,0.5,45000000,106793915,7.0,140499,358,187,91,0,579,1817
584,Here Comes the Boom,2012,Frank Coraci,Salma Hayek,105,2.0,42000000,45290318,6.5,74169,112,154,153,17000,4000,6727
585,High Crimes,2002,Carl Franklin,Morgan Freeman,115,0.5,42000000,41543207,6.3,30077,175,114,73,893,11000,15571
586,The Mirror Has Two Faces,1996,Barbra Streisand,Jeff Bridges,122,0.5,42000000,41252428,6.5,11453,71,27,0,0,12000,13716
587,The Mothman Prophecies,2002,Mark Pellington,Debra Messing,119,0.5,32000000,35228696,6.5,63677,460,166,89,0,650,1651
591,15 Minutes,2001,John Herzfeld,Robert De Niro,120,0.5,42000000,24375436,6.1,42547,265,151,17,748,22000,33585
593,Lord of War,2005,Andrew Niccol,Nicolas Cage,122,2.0,50000000,24127895,7.6,248123,437,168,487,10000,12000,12076
595,The Interview,2014,Evan Goldberg,James Franco,112,2.0,44000000,6105175,6.6,247020,835,293,133,50000,11000,12239
596,The Warrior's Way,2010,Sngmoo Lee,Tony Cox,100,0.5,45000000,5664251,6.3,22309,102,95,19,0,624,2056
597,8 Mile,2002,Curtis Hanson,Mekhi Phifer,110,0.5,41000000,116724075,7.0,187181,564,119,161,0,1000,1954
598,A Knight's Tale,2001,Brian Helgeland,Heath Ledger,144,0.5,65000000,56083966,6.9,137003,658,167,241,0,13000,18761
599,Man on a Ledge,2012,Asger Leth,Robert Clohessy,102,2.0,42000000,18600911,6.6,125198,153,258,20,11000,107,362
600,The Big Year,2011,David Frankel,Joel McHale,100,0.5,41000000,7204138,6.2,34809,125,108,64,11000,734,2085
602,Double Jeopardy,1999,Bruce Beresford,Bruce Greenwood,105,0.5,70000000,116735231,6.4,56646,336,129,78,0,984,2129
605,A Time to Kill,1996,Joel Schumacher,Kevin Spacey,149,2.0,40000000,108706165,7.4,99558,236,71,541,0,18000,31349
606,Lone Survivor,2013,Peter Berg,Jerry Ferrara,121,0.5,40000000,125069696,7.6,203963,420,319,532,58000,480,1261
608,The Conjuring 2,2016,James Wan,Javier Botet,134,0.5,40000000,102310175,7.8,64989,279,300,0,40000,1000,2676
609,The Social Network,2010,David Fincher,Andrew Garfield,120,0.5,40000000,96917897,7.7,479453,696,556,21000,74000,10000,10555
610,He's Just Not That Into You,2009,Ken Kwapis,Carmen Perez,129,2.0,40000000,93952276,6.4,132048,203,161,42,12000,97,318
614,Get Hard,2015,Etan Cohen,Will Ferrell,107,2.0,40000000,90353764,6.0,85629,144,173,164,14000,8000,12556
616,Julie & Julia,2009,Nora Ephron,Meryl Streep,123,2.0,40000000,94125426,7.0,79264,277,252,0,13000,11000,13321
617,42,2013,Brian Helgeland,Harrison Ford,128,0.5,40000000,95001343,7.5,66511,200,216,241,28000,11000,16911
618,The Talented Mr. Ripley,1999,Anthony Minghella,Philip Seymour Hoffman,139,0.5,40000000,81292135,7.3,137891,696,203,333,0,22000,36810
620,Eight Below,2006,Frank Marshall,Paul Walker,120,0.5,40000000,81593527,7.3,48806,263,118,155,11000,23000,24300
621,The Intern,2015,Nancy Meyers,Robert De Niro,121,2.0,35000000,75274748,7.2,130661,304,241,278,54000,22000,36010
624,Ray,2004,Taylor Hackford,Bokeem Woodbine,178,0.5,40000000,75305995,7.7,110394,433,209,138,0,904,5074
626,Vantage Point,2008,Pete Travis,Dennis Quaid,90,2.0,40000000,72266306,6.6,127528,422,235,38,0,2000,6775
627,"I Love You, Man",2009,John Hamburg,J.K. Simmons,105,2.0,40000000,71347010,7.1,166194,215,215,29,0,24000,28928
630,The Mexican,2001,Gore Verbinski,J.K. Simmons,123,0.5,34000000,66808615,6.1,87351,344,125,563,2000,24000,43917
631,17 Again,2009,Burr Steers,Matthew Perry,102,0.5,20000000,64149837,6.4,146899,185,191,23,0,2000,7009
632,The Other Woman,2014,Nick Cassavetes,Don Johnson,109,2.0,40000000,83906114,6.0,104481,189,191,415,16000,982,2357
633,Bridge of Spies,2015,Steven Spielberg,Tom Hanks,142,0.5,40000000,72306065,7.6,178118,355,459,14000,55000,15000,16944
634,Behind Enemy Lines,2001,John Moore,Joaquim de Almeida,106,2.0,40000000,59068786,6.4,86902,411,131,212,0,578,2544
635,Shall We Dance,2004,Peter Chelsom,Lisa Ann Walter,106,2.0,50000000,57887882,6.1,35508,211,118,23,0,1000,2325
636,Small Soldiers,1998,Joe Dante,Kirsten Dunst,108,0.5,40000000,53955614,6.1,77415,139,100,287,0,4000,8610
638,The Count of Monte Cristo,2002,Kevin Reynolds,Henry Cavill,131,0.5,35000000,54228104,7.7,104991,544,138,58,0,15000,17152
639,The Lincoln Lawyer,2011,Brad Furman,Matthew McConaughey,118,0.5,40000000,57981889,7.3,173848,203,274,65,25000,11000,13943
640,Unknown,2011,Jaume Collet-Serra,Liam Neeson,113,2.0,30000000,61094903,6.9,210542,332,349,174,29000,14000,17152
642,Horrible Bosses 2,2014,Sean Anders,Kevin Spacey,116,2.0,42000000,54414716,6.3,114294,187,196,51,12000,18000,30571
645,Predators,2010,Nimrd Antal,Topher Grace,107,0.5,40000000,52000688,6.4,171418,619,351,190,17000,2000,4243
647,The Lake House,2006,Alejandro Agresti,Keanu Reeves,99,0.5,40000000,52320979,6.8,114321,548,175,18,0,18000,18693
648,The Skeleton Key,2005,Iain Softley,Gena Rowlands,104,0.5,43000000,47806295,6.5,87447,371,193,34,0,545,1274
649,The Odd Life of Timothy Green,2012,Peter Hedges,Jennifer Garner,105,0.5,25000000,51853450,6.6,37398,110,169,54,11000,3000,9069
651,Jersey Boys,2014,Clint Eastwood,Johnny Cannizzaro,134,0.5,40000000,47034272,6.9,25465,190,249,16000,16000,880,2281
652,The Rainmaker,1997,Francis Ford Coppola,Matt Damon,135,0.5,40000000,45856732,7.1,46221,141,91,0,0,13000,16762
654,Amistad,1997,Steven Spielberg,Anthony Hopkins,155,2.0,36000000,44175394,7.2,56509,227,77,14000,0,12000,37570
659,Paul,2011,Greg Mottola,Bobby Lee,109,0.5,40000000,37371385,7.0,192462,334,342,99,42000,176,390
661,Scream 4,2011,Wes Craven,Alison Brie,111,0.5,40000000,38176892,6.2,104119,518,420,0,26000,2000,4486
666,Pay It Forward,2000,Mimi Leder,Kevin Spacey,123,2.0,40000000,33508922,7.2,95860,660,157,75,16000,18000,23920
667,Fever Pitch,2005,Bobby Farrelly,Jimmy Fallon,104,0.5,30000000,42071069,6.2,36223,208,124,101,0,787,1827
669,A Million Ways to Die in the West,2014,Seth MacFarlane,Liam Neeson,136,2.0,40000000,42615685,6.1,136093,416,303,3000,24000,14000,28927
671,Extremely Loud & Incredibly Close,2011,Stephen Daldry,Tom Hanks,129,0.5,40000000,31836745,6.9,81298,341,283,335,39000,15000,15595
672,Morning Glory,2010,Roger Michell,Noah Bean,107,0.5,40000000,30993544,6.5,58871,156,212,50,0,293,621
675,Rent,2005,Chris Columbus,Rosario Dawson,135,0.5,40000000,29077547,7.0,41685,754,146,0,3000,3000,5917
679,The Other Boleyn Girl,2008,Justin Chadwick,Natalie Portman,115,2.0,35000000,26814957,6.7,84357,252,169,56,0,20000,77823
680,Sweet November,2001,Pat O'Connor,Keanu Reeves,119,0.5,40000000,25178165,6.7,70292,274,94,7,8000,18000,29484
683,The Magic Sword: Quest for Camelot,1998,Frederik Du Chau,Gary Oldman,86,0.5,40000000,22717758,6.2,11156,67,34,7,0,10000,14275
684,City by the Sea,2002,Michael Caton-Jones,Robert De Niro,108,0.5,60000000,22433915,6.2,21319,166,104,105,416,22000,34377
687,City Hall,1996,Harold Becker,Al Pacino,111,2.0,40000000,20300000,6.2,16741,60,50,17,309,14000,17877
688,Marie Antoinette,2006,Sofia Coppola,Kirsten Dunst,123,0.5,40000000,15962471,6.4,79892,619,260,0,0,4000,7243
692,Fantastic Mr. Fox,2009,Wes Anderson,Bill Murray,87,0.5,40000000,20999103,7.8,139114,245,335,0,15000,13000,24770
696,Alfie,2004,Charles Shyer,Omar Epps,103,2.0,60000000,13395939,6.2,43442,146,135,14,0,865,3639
697,Big Miracle,2012,Ken Kwapis,Ted Danson,107,2.0,40000000,20113965,6.5,15231,66,125,42,0,875,1702
698,The Deep End of the Ocean,1999,Ulu Grosbard,Alexa PenaVega,106,0.5,40000000,13376506,6.3,10413,111,54,22,579,2000,4327
704,Impostor,2001,Gary Fleder,Gary Dourdan,102,2.0,40000000,6114237,6.2,19986,207,83,39,892,1000,2664
706,Sunshine,2007,Danny Boyle,Chris Evans,107,0.5,26000000,3675072,7.3,190132,801,308,0,15000,11000,11623
710,Disturbia,2007,D.J. Caruso,Sarah Roemer,105,0.5,20000000,80050171,6.9,186982,491,253,154,0,884,2288
711,Hackers,1995,Iain Softley,Angelina Jolie Pitt,107,0.5,20000000,7564000,6.2,54650,223,79,34,12000,11000,13821
712,The Hunting Party,2007,Richard Shepard,James Brolin,101,2.0,25000000,876671,6.9,22010,90,94,47,0,499,504
715,The Time Traveler's Wife,2009,Robert Schwentke,Arliss Howard,107,0.5,39000000,63411478,7.1,114925,234,214,124,13000,152,568
716,Frankenweenie,2012,Tim Burton,Martin Landau,87,0.5,39000000,35287788,7.0,73886,165,370,13000,25000,940,4774
717,Serenity,2005,Joss Whedon,Adam Baldwin,119,0.5,40000000,25335935,8.0,242599,1594,276,0,14000,2000,2853
720,Grudge Match,2013,Peter Segal,Robert De Niro,113,0.5,40000000,29802761,6.4,46480,115,211,88,12000,22000,36009
721,Sweet Home Alabama,2002,Andy Tennant,Ethan Embry,108,0.5,38000000,127214072,6.1,83786,392,97,72,0,982,4251
722,The Ugly Truth,2009,Robert Luketic,Gerard Butler,96,2.0,38000000,88915214,6.5,163665,169,174,126,9000,18000,22436
726,Water for Elephants,2011,Francis Lawrence,Robert Pattinson,120,0.5,38000000,58700247,6.9,95367,260,279,508,33000,21000,36062
727,The Hurricane,1999,Norman Jewison,Denzel Washington,146,0.5,38000000,50668906,7.6,76016,265,65,278,0,18000,20516
729,Heartbreakers,2001,David Mirkin,Sarah Silverman,123,2.0,35000000,40334024,6.2,44168,216,116,7,989,931,2912
733,Extreme Measures,1996,Michael Apted,J.K. Simmons,118,0.5,38000000,17305211,6.1,14066,75,47,150,352,24000,24547
734,Rock Star,2001,Stephen Herek,Beth Grant,105,0.5,57000000,16991902,6.2,34592,191,107,65,0,628,1265
