,movie_title,title_year,director_name,actor_1_name,duration,facenumber_in_poster,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes
415,Anchorman 2: The Legend Continues,2013,Adam McKay,Harrison Ford,143,2,50000000,2175312,6.3,131227,346,272,285,41000,11000,28176
416,Mr. Deeds,2002,Steven Brill,Steve Buscemi,96,1,50000000,126203320,5.8,110432,309,117,65,0,12000,26826
417,Super 8,2011,J.J. Abrams,Joel Courtney,112,0,50000000,126975169,7.1,287822,849,539,14000,37000,1000,3388
418,Erin Brockovich,2000,Steven Soderbergh,Julia Roberts,131,0,52000000,125548685,7.3,135246,498,169,0,0,8000,10003
419,How to Lose a Guy in 10 Days,2003,Donald Petrie,Matthew McConaughey,116,2,50000000,105807520,6.4,156717,357,140,80,0,11000,14087
420,Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,Brad Pitt,123,0,60000000,105264608,7.6,239752,406,120,277,11000,11000,25697
421,Yes Man,2008,Peyton Reed,Bradley Cooper,104,1,70000000,97680195,6.8,271691,243,190,235,0,14000,29505
422,Central Intelligence,2016,Rawson Marshall Thurber,Dwayne Johnson,107,2,50000000,126088877,6.6,33354,110,177,43,10000,12000,14569
423,Stepmom,1998,Chris Columbus,Julia Roberts,124,2,50000000,91030827,6.7,46482,252,65,0,0,8000,9988
424,Inside Man,2006,Spike Lee,Denzel Washington,129,2,45000000,88504640,7.6,273108,646,230,0,0,18000,19148
425,Payback,1999,Brian Helgeland,Bill Duke,90,1,50000000,81517441,7.1,111368,394,143,241,0,1000,3148
426,Congo,1995,Frank Marshall,Dylan Walsh,109,0,50000000,81022333,5.0,34471,147,55,155,0,426,1761
427,Knowing,2009,Alex Proyas,Nicolas Cage,121,0,50000000,79948113,6.2,186879,791,279,295,0,12000,13421
428,Failure to Launch,2006,Tom Dey,Bradley Cooper,95,2,50000000,88658172,5.6,58412,242,143,9,2000,14000,37967
429,Garfield,2004,Peter Hewitt,Bill Murray,80,0,35000000,75367693,5.0,58961,232,116,12,795,13000,13430
430,Christmas with the Kranks,2004,Joe Roth,Jamie Lee Curtis,99,1,60000000,73701902,5.2,27548,209,105,148,0,2000,6729
431,Moneyball,2011,Bennett Miller,Philip Seymour Hoffman,133,1,50000000,75605492,7.6,283563,312,419,152,27000,22000,53094
432,Outbreak,1995,Wolfgang Petersen,Kevin Spacey,127,3,50000000,67823573,6.6,91176,130,64,249,0,18000,30383
433,Non-Stop,2014,Jaume Collet-Serra,Liam Neeson,106,0,50000000,91439400,7.0,200647,384,359,174,24000,14000,16967
434,Race to Witch Mountain,2009,Andy Fickman,Dwayne Johnson,98,3,65000000,67128202,5.7,43328,110,166,99,0,12000,14007
435,V for Vendetta,2005,James McTeigue,Natalie Portman,132,1,54000000,70496802,8.2,791783,2042,525,160,48000,20000,22417
436,Shanghai Knights,2003,David Dobkin,Fann Wong,114,2,50000000,60470220,6.2,81444,192,165,71,955,154,428
437,Curious George,2006,Matthew O'Callaghan,Will Ferrell,78,0,50000000,58336565,6.6,12845,118,87,5,624,8000,11124
438,Herbie Fully Loaded,2005,Angela Robinson,Scoot McNairy,101,1,50000000,66002004,4.7,36431,168,117,23,1000,660,2177
439,Don't Say a Word,2001,Gary Fleder,Oliver Platt,113,0,50000000,54997476,6.3,40362,248,113,39,970,1000,3341
440,Unfaithful,2002,Adrian Lyne,Olivier Martinez,124,0,50000000,52752475,6.7,63067,533,152,213,0,838,2583
441,I Am Number Four,2011,D.J. Caruso,Alex Pettyfer,109,1,60000000,55092830,6.1,195043,329,288,154,27000,15000,15608
442,Syriana,2005,Stephen Gaghan,Matt Damon,128,0,50000000,50815288,7.0,109188,625,358,79,0,13000,14747
443,13 Hours,2016,Michael Bay,Toby Stephens,144,0,50000000,52822418,7.4,47764,219,204,0,44000,769,3580
444,The Book of Life,2014,Jorge R. Gutirrez,Channing Tatum,95,1,50000000,50150619,7.3,45580,102,156,34,18000,17000,19513
445,Absolute Power,1997,Clint Eastwood,Clint Eastwood,121,0,50000000,50007168,6.7,39529,142,76,16000,1000,16000,19139
446,G.I. Jane,1997,Ridley Scott,Viggo Mortensen,125,1,50000000,48154732,5.8,60326,142,97,0,2000,10000,15569
447,The Game,1997,David Fincher,Deborah Kara Unger,129,1,50000000,48265581,7.8,261069,506,157,21000,25000,495,1397
448,Silent Hill,2006,Christophe Gans,Radha Mitchell,132,0,50000000,46982632,6.6,172792,1740,267,50,0,992,1933
449,The Replacements,2000,Howard Deutch,Keanu Reeves,118,1,50000000,44737059,6.5,48322,261,118,41,0,18000,24024
450,American Reunion,2012,Jon Hurwitz,Alyson Hannigan,113,7,50000000,56724080,6.7,172112,181,291,22,39000,3000,8398
451,Into the Storm,2014,Steven Quale,Matt Walsh,89,0,50000000,47553512,5.8,54101,210,228,77,15000,490,1367
452,Beverly Hills Cop III,1994,John Landis,Louis Lombardi,104,1,55000000,42610000,5.5,60293,114,36,644,669,437,1093
453,Gremlins 2: The New Batch,1990,Joe Dante,Christopher Lee,106,0,50000000,41482207,6.3,68428,148,105,287,0,16000,19610
454,The Judge,2014,David Dobkin,Robert Downey Jr.,141,1,50000000,47105085,7.4,136973,275,276,71,47000,21000,30183
455,The Peacemaker,1997,Mimi Leder,Armin Mueller-Stahl,124,2,50000000,41256277,5.9,46451,156,93,75,0,294,1289
456,Bridget Jones: The Edge of Reason,2004,Beeban Kidron,Colin Firth,108,1,40000000,40203020,5.9,74315,259,143,17,0,14000,15634
457,Out of Time,2003,Carl Franklin,Denzel Washington,114,3,50000000,40905277,6.5,45895,157,124,73,1000,18000,19739
458,On Deadly Ground,1994,Steven Seagal,Mike Starr,101,1,50000000,38590500,4.4,17997,140,47,0,812,854,1860
459,The Adventures of Sharkboy and Lavagirl 3-D,2005,Robert Rodriguez,Taylor Lautner,93,1,50000000,39177541,3.5,20310,177,66,0,0,12000,14899
460,The Beach,2000,Danny Boyle,Leonardo DiCaprio,119,0,50000000,39778599,6.6,176169,548,118,0,0,29000,29461
461,Raising Helen,2004,Garry Marshall,Amber Valletta,119,1,50000000,37486138,6.0,30890,106,93,0,718,627,2052
462,Ninja Assassin,2009,James McTeigue,Sh Kosugi,99,0,40000000,38105077,6.4,58349,194,235,160,0,330,701
463,For Love of the Game,1999,Sam Raimi,J.K. Simmons,137,0,50000000,35168395,6.5,26034,226,113,0,0,24000,25469
464,Striptease,1996,Andrew Bergman,Demi Moore,117,1,40000000,32800000,4.3,34896,118,51,31,877,2000,3016
465,Marmaduke,2010,Tom Dey,Emma Stone,87,0,50000000,33643461,4.2,11257,65,98,9,0,15000,20061
466,Hereafter,2010,Clint Eastwood,Matt Damon,129,0,50000000,32741596,6.5,80140,323,315,16000,16000,13000,14344
467,Hannibal Rising,2007,Peter Webber,Li Gong,131,0,50000000,27667947,6.2,86374,392,209,73,3000,879,1344
468,The Story of Us,1999,Rob Reiner,Bruce Willis,95,1,50000000,27067160,5.9,18404,150,99,0,0,13000,14706
469,The Host,2013,Andrew Niccol,J.D. Evermore,125,3,40000000,26616999,5.9,92461,347,298,487,43000,430,1300
470,Blood Work,2002,Clint Eastwood,Clint Eastwood,110,1,50000000,26199517,6.4,34356,260,146,16000,705,16000,18635
471,The International,2009,Tom Tykwer,Naomi Watts,118,0,50000000,25450527,6.5,80196,190,245,670,0,6000,7654
472,Escape from L.A.,1996,John Carpenter,Steve Buscemi,101,0,50000000,25407250,5.7,54021,227,104,0,0,12000,15935
473,The Iron Giant,1999,Brad Bird,Vin Diesel,90,1,70000000,23159305,8.0,128455,514,162,663,0,14000,16358
474,The Life Aquatic with Steve Zissou,2004,Wes Anderson,Bill Murray,119,8,50000000,24006726,7.3,139535,632,259,0,0,13000,15757
475,Free State of Jones,2016,Gary Ross,Matthew McConaughey,139,1,50000000,20389967,6.7,3077,47,79,378,10000,11000,12786
476,The Life of David Gale,2003,Alan Parker,Kevin Spacey,130,0,50000000,19593740,7.5,88270,420,141,317,0,18000,32637
477,Man of the House,2005,Stephen Herek,Christina Milian,100,5,40000000,19118247,5.4,19829,94,59,65,779,1000,6171
478,Run All Night,2015,Jaume Collet-Serra,Liam Neeson,114,2,50000000,26442251,6.6,76010,205,236,174,15000,14000,16992
479,Eastern Promises,2007,David Cronenberg,Viggo Mortensen,96,1,25000000,17114882,7.7,189249,398,356,0,0,10000,17211
480,Into the Blue,2005,John Stockwell,Paul Walker,110,3,50000000,18472363,5.8,63599,208,120,134,0,23000,25049
481,Your Highness,2011,David Gordon Green,Natalie Portman,102,3,49900000,21557240,5.6,85237,274,208,234,18000,20000,45202
482,Dream House,2011,Jim Sheridan,Naomi Watts,84,0,55000000,21283440,6.0,46239,137,174,260,0,6000,8018
483,Mad City,1997,Costa-Gavras,Mia Kirshner,115,2,50000000,10556196,6.2,16562,73,59,333,697,972,2606
484,Baby's Day Out,1994,Patrick Read Johnson,Joe Mantegna,99,1,50000000,16671505,5.9,33186,78,22,32,0,1000,2949
485,The Scarlet Letter,1995,Roland Joff,Gary Oldman,135,1,50000000,10400000,5.1,12037,90,34,596,943,10000,15820
486,Fair Game,2010,Doug Liman,Naomi Watts,108,2,22000000,9528092,6.8,38513,127,214,218,9000,6000,10191
487,Jade,1995,William Friedkin,Michael Biehn,107,0,50000000,9795017,5.1,9227,70,50,607,422,2000,5461
488,Gamer,2009,Mark Neveldine,Gerard Butler,95,1,50000000,20488579,5.8,113483,245,180,83,0,18000,29926
489,Beautiful Creatures,2013,Richard LaGravenese,Alden Ehrenreich,124,7,60000000,19445217,6.2,67796,258,231,98,14000,1000,3580
490,Zoolander 2,2016,Ben Stiller,Milla Jovovich,102,4,50000000,28837115,4.8,34964,150,226,0,28000,14000,24107
491,The Big Bounce,2004,George Armitage,Morgan Freeman,88,5,50000000,6471394,4.9,15880,93,75,5,288,11000,11972
492,What Planet Are You From?,2000,Mike Nichols,Judy Greer,87,0,50000000,6291602,5.6,8070,91,82,0,255,2000,3954
493,Drive Angry,2011,Patrick Lussier,Nicolas Cage,104,1,50000000,10706786,5.5,81800,211,296,71,15000,12000,16481
494,Street Fighter: The Legend of Chun-Li,2009,Andrzej Bartkowiak,Chris Klein,96,2,18000000,8742261,3.7,19824,179,103,43,0,841,1385
495,The One,2001,James Wong,Jason Statham,85,1,49000000,43905746,5.9,77684,294,98,70,0,26000,32831
496,The Adventures of Ford Fairlane,1990,Renny Harlin,Lauren Holly,104,5,40000000,21413502,6.3,14429,113,48,212,2000,879,2795
497,Traffic,2000,Steven Soderbergh,Michael O'Neill,190,0,48000000,124107476,7.6,170684,867,223,0,0,599,1418
498,Chappie,2015,Neill Blomkamp,Hugh Jackman,120,0,49000000,31569268,6.9,172965,627,371,662,67000,20000,23051
499,The Bone Collector,1999,Phillip Noyce,Denzel Washington,118,2,48000000,66488090,6.7,120202,397,75,176,0,18000,29748
500,Panic Room,2002,David Fincher,Kristen Stewart,112,0,48000000,95308367,6.8,206104,850,233,21000,0,17000,18141
501,Three Kings,1999,David O. Russell,Judy Greer,114,1,48000000,60652036,7.1,137854,560,150,737,3000,2000,3743
502,Rat Race,2001,Jerry Zucker,Corinna Harney,112,8,48000000,56607223,6.4,93367,497,103,109,0,779,1823
503,K-PAX,2001,Iain Softley,Kevin Spacey,120,1,48000000,50173190,7.4,148490,537,140,34,0,18000,33615
504,Kate & Leopold,2001,James Mangold,Hugh Jackman,123,1,48000000,47095453,6.4,64595,316,125,446,0,20000,22209
505,Bedazzled,2000,Harold Ramis,Brendan Fraser,93,2,48000000,37879996,6.0,81888,254,125,11000,0,3000,5390
506,The Cotton Club,1984,Francis Ford Coppola,Nicolas Cage,123,1,58000000,25900000,6.5,12771,84,36,0,828,12000,18793
507,3:10 to Yuma,2007,James Mangold,Christian Bale,122,1,55000000,53574088,7.8,237872,560,295,446,0,23000,33548
508,Out of Sight,1998,Steven Soderbergh,Don Cheadle,123,1,48000000,37339525,7.0,71708,307,158,0,0,3000,3768
509,The Cable Guy,1996,Ben Stiller,Matthew Broderick,96,1,47000000,60154431,6.0,122347,345,72,0,0,2000,3718
510,The Thomas Crown Affair,1999,John McTiernan,Mark Margolis,113,0,48000000,69304264,6.8,73068,419,152,323,0,1000,4660
511,Riding in Cars with Boys,2001,Penny Marshall,Rosie Perez,132,1,48000000,29781453,6.4,22447,210,89,545,0,919,4796
512,Happily N'Ever After,2006,Paul Bolger,Sarah Michelle Gellar,75,3,47000000,15519841,4.5,8693,71,93,0,261,4000,6863
513,Mary Reilly,1996,Stephen Frears,Julia Roberts,108,1,47000000,5600000,5.8,11913,97,46,350,616,8000,8349
514,My Best Friend's Wedding,1997,P.J. Hogan,Julia Roberts,105,1,46000000,126805112,6.3,98199,169,84,29,0,8000,12344
515,America's Sweethearts,2001,Joe Roth,Julia Roberts,102,4,48000000,93607673,5.7,47573,343,142,148,881,8000,9176
516,Insomnia,2002,Christopher Nolan,Al Pacino,118,0,46000000,67263182,7.2,218771,651,185,22000,0,14000,15658
517,Star Trek: First Contact,1996,Jonathan Frakes,LeVar Burton,111,2,45000000,92001027,7.6,97838,286,143,906,3000,1000,6315
518,Jonah Hex,2010,Jimmy Hayward,Michael Fassbender,81,1,47000000,10539414,4.7,45729,176,178,39,0,13000,14619
519,Courage Under Fire,1996,Edward Zwick,Denzel Washington,116,1,46000000,58918501,6.6,40126,107,65,380,975,18000,33233
520,The Infiltrator,2016,Brad Furman,Joseph Gilgun,127,1,25000000,14946229,7.3,2581,29,72,65,0,788,2104
521,The Flintstones,1994,Brian Levant,Jonathan Winters,91,2,45000000,130512915,4.8,60884,85,35,32,0,924,3244
522,Scary Movie 3,2003,David Zucker,Regina Hall,84,7,48000000,110000082,5.5,111526,347,151,119,0,807,3629
523,Miss Congeniality,2000,Donald Petrie,Candice Bergen,109,1,45000000,106807667,6.2,137377,370,140,80,0,545,1574
524,Journey to the Center of the Earth,2008,Eric Brevig,Josh Hutcherson,93,0,45000000,101702060,5.8,85323,212,201,40,0,14000,17925
525,The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,Anne Hathaway,113,2,40000000,95149435,5.7,53687,152,77,0,1000,11000,15362
526,The Pelican Brief,1993,Alan J. Pakula,Denzel Washington,141,0,45000000,100768056,6.5,59569,89,43,79,0,18000,30063
527,The Client,1994,Joel Schumacher,Bradley Whitford,119,3,45000000,92115211,6.7,45798,94,39,541,1000,821,4043
528,The Bucket List,2007,Rob Reiner,Morgan Freeman,97,1,45000000,93452056,7.4,184795,310,207,0,22000,11000,14868
529,Patriot Games,1992,Phillip Noyce,Harrison Ford,117,1,45000000,83287363,6.9,81442,137,47,176,0,11000,12757
530,Prisoners,2013,Denis Villeneuve,Hugh Jackman,153,2,46000000,60962878,8.1,383591,620,454,777,86000,20000,37321
531,Training Day,2001,Antoine Fuqua,Denzel Washington,122,2,45000000,76261036,7.7,305929,633,109,845,0,18000,22370
532,Galaxy Quest,1999,Dean Parisot,Alan Rickman,102,3,45000000,71423726,7.3,123558,609,213,23,19000,25000,26998
533,Scary Movie 2,2001,Keenen Ivory Wayans,Natasha Lyonne,83,7,45000000,71277420,5.2,119590,548,127,322,0,1000,1645
534,The Muppets,2011,James Bobin,Bill Cobbs,103,3,45000000,88625922,7.1,75176,252,398,33,26000,970,1336
535,Blade,1998,Stephen Norrington,Sanaa Lathan,110,1,45000000,70001065,7.1,191437,582,184,45,0,886,3174
536,Coach Carter,2005,Thomas Carter,Channing Tatum,136,0,30000000,67253092,7.2,92702,209,127,49,0,17000,20299
537,Changing Lanes,2002,Roger Michell,Sydney Pollack,91,0,45000000,66790248,6.5,57281,350,167,50,0,521,758
538,Anaconda,1997,Luis Llosa,Frank Welker,89,0,45000000,65557989,4.6,73539,271,119,49,0,2000,3717
539,Coyote Ugly,2000,David McNally,Adam Garcia,107,5,45000000,60786269,5.6,90539,379,155,18,0,811,3106
540,Love Actually,2003,Richard Curtis,Colin Firth,129,9,45000000,59365105,7.7,318634,1004,218,628,52000,14000,28886
541,Tin Cup,1996,Ron Shelton,Don Johnson,135,0,45000000,53854588,6.3,37911,73,48,41,1000,982,3648
542,Kicking & Screaming,2005,Jesse Dylan,Josh Hutcherson,95,1,45000000,52580895,5.6,30255,118,94,58,743,14000,27351
543,The Hitchhiker's Guide to the Galaxy,2005,Garth Jennings,Zooey Deschanel,109,0,50000000,51019112,6.8,155745,1053,276,37,10000,11000,14073
544,Fat Albert,2004,Joel Zwick,Dania Ramirez,93,1,26000000,48114556,4.3,9380,91,59,38,531,1000,4604
545,Last Holiday,2006,Wayne Wang,LL Cool J,112,1,45000000,38360195,6.4,21215,116,99,61,0,1000,3757
546,The River Wild,1994,Curtis Hanson,Meryl Streep,111,1,45000000,46815748,6.3,32544,69,42,161,0,11000,12161
547,The Indian in the Cupboard,1995,Frank Oz,Steve Coogan,96,1,45000000,35617599,5.9,20688,47,25,0,0,1000,2965
548,Savages,2012,Oliver Stone,Demin Bichir,141,4,45000000,47307550,6.5,104301,269,339,0,28000,749,1948
549,Cellular,2004,David R. Ellis,Richard Burgi,94,1,25000000,32003620,6.5,79141,355,127,160,2000,550,1102
550,Johnny English,2003,Peter Howitt,Kevin McNally,87,1,35000000,27972410,6.1,114692,285,122,29,2000,427,1461
551,The Ant Bully,2006,John A. Davis,Nicolas Cage,88,1,50000000,28133159,5.9,30055,70,105,8,593,12000,33822
552,Dune,1984,David Lynch,Virginia Madsen,177,3,40000000,27400000,6.6,97087,569,144,0,11000,913,2449
553,Across the Universe,2007,Julie Taymor,Jim Sturgess,133,0,45000000,24343673,7.4,91860,524,156,278,14000,5000,5405
554,Revolutionary Road,2008,Sam Mendes,Leonardo DiCaprio,119,0,35000000,22877808,7.3,152591,414,323,0,0,29000,53895
555,The Glimmer Man,1996,John Gray,Alexa PenaVega,91,1,45000000,20400913,5.3,15455,80,39,29,451,2000,3855
556,Multiplicity,1996,Harold Ramis,John de Lancie,117,0,45000000,20101861,6.0,24757,81,43,11000,0,905,2348
557,Aliens in the Attic,2009,John Schultz,Malese Jow,86,3,45000000,25200412,5.4,16580,55,82,13,916,1000,3423
558,The Pledge,2001,Sean Penn,Costas Mandylor,124,0,45000000,19719930,6.8,42621,531,150,0,0,723,793
559,The Producers,2005,Susan Stroman,Jon Lovitz,134,3,45000000,19377727,6.4,35140,409,168,38,0,11000,24351
561,The Phantom,1996,Simon Wincer,Cary-Hiroyuki Tagawa,100,0,45000000,17300889,4.9,27648,148,60,23,0,1000,3855
562,All the Pretty Horses,2000,Billy Bob Thornton,Matt Damon,220,2,57000000,15527125,5.8,11388,183,85,0,652,13000,15006
563,Nixon,1995,Oliver Stone,Anthony Hopkins,212,0,50000000,13560960,7.1,23996,161,83,0,915,12000,21130
564,Deep Rising,1998,Stephen Sommers,Djimon Hounsou,106,0,45000000,11146409,6.0,26551,273,106,208,0,3000,6558
565,Miracle at St. Anna,2008,Spike Lee,Joseph Gordon-Levitt,160,0,45000000,7916887,6.0,15697,182,158,0,0,23000,26982
566,Bangkok Dangerous,2008,Danny Pang,Nicolas Cage,99,1,40000000,15279680,5.4,48245,154,125,15,0,12000,12166
567,Big Trouble,2002,Barry Sonnenfeld,Zooey Deschanel,74,2,40000000,7262288,6.5,17307,186,87,188,892,11000,13917
568,Love in the Time of Cholera,2007,Mike Newell,Marcela Mar,139,0,45000000,4584886,6.4,19114,115,115,179,0,267,538
569,Shadow Conspiracy,1997,George P. Cosmatos,Sam Waterston,103,2,45000000,2154540,4.9,3803,41,24,170,68,849,2457
570,Johnny English Reborn,2011,Oliver Parker,Daniel Kaluuya,101,1,45000000,8129455,6.3,89568,142,152,32,17000,219,661
571,The Bounty Hunter,2010,Andy Tennant,Gerard Butler,110,1,40000000,67061228,5.5,96565,135,161,72,0,18000,21554
572,Sleepers,1996,Barry Levinson,Robert De Niro,147,3,44000000,53300852,7.5,154487,259,73,272,0,22000,37076
573,The Juror,1996,Brian Gibson,Joseph Gordon-Levitt,118,1,44000000,44834712,5.6,13995,62,28,13,353,23000,26907
574,Heaven's Gate,1980,Michael Cimino,Jeff Bridges,325,0,44000000,1500000,6.8,9830,189,102,517,1000,12000,14255
575,Underworld: Evolution,2006,Len Wiseman,Sophia Myles,102,1,50000000,62318875,6.8,156225,502,206,235,0,956,2998
576,Victor Frankenstein,2015,Paul McGuigan,Daniel Radcliffe,110,2,40000000,5773519,6.0,28618,91,159,118,11000,11000,12876
577,Finding Forrester,2000,Gus Van Sant,F. Murray Abraham,136,1,43000000,51768623,7.3,73006,297,137,835,0,670,1801
578,28 Days,2000,Betty Thomas,Steve Buscemi,103,1,43000000,37035515,6.0,34597,194,116,84,0,12000,23864
579,The Sweetest Thing,2002,Roger Kumble,Judith Chapman,90,3,43000000,24430272,5.1,46158,403,99,16,0,44,132
580,Charlie St. Cloud,2010,Burr Steers,Augustus Prew,99,1,44000000,31136950,6.5,47364,75,117,23,0,405,1066
581,The Mechanic,2011,Simon West,Jason Statham,93,0,40000000,29113588,6.6,117999,181,252,165,16000,26000,27834
582,Notting Hill,1999,Roger Michell,Julia Roberts,124,1,42000000,116006080,7.0,203269,602,150,50,11000,8000,9255
583,Chicken Run,2000,Peter Lord,Imelda Staunton,84,0,45000000,106793915,7.0,140499,358,187,91,0,579,1817
584,Along Came Polly,2004,John Hamburg,Philip Seymour Hoffman,90,1,42000000,87856565,5.9,106909,268,108,29,0,22000,24534
585,Boomerang,1992,Reginald Hudlin,John Witherspoon,117,1,40000000,70100000,5.4,20183,41,21,71,0,723,3841
586,Here Comes the Boom,2012,Frank Coraci,Salma Hayek,105,2,42000000,45290318,6.5,74169,112,154,153,17000,4000,6727
587,High Crimes,2002,Carl Franklin,Morgan Freeman,115,1,42000000,41543207,6.3,30077,175,114,73,893,11000,15571
588,The Mirror Has Two Faces,1996,Barbra Streisand,Jeff Bridges,122,0,42000000,41252428,6.5,11453,71,27,0,0,12000,13716
589,The Mothman Prophecies,2002,Mark Pellington,Debra Messing,119,0,32000000,35228696,6.5,63677,460,166,89,0,650,1651
590,Brno,2009,Larry Charles,Bono,81,1,42000000,59992760,5.8,119622,396,288,119,0,468,2134
591,Licence to Kill,1989,John Glen,Robert Davi,133,0,32000000,34667015,6.6,74009,317,117,46,0,683,2371
592,Red Riding Hood,2011,Catherine Hardwicke,Gary Oldman,100,2,42000000,37652565,5.4,91151,283,291,308,20000,10000,15369
593,15 Minutes,2001,John Herzfeld,Robert De Niro,120,1,42000000,24375436,6.1,42547,265,151,17,748,22000,33585
594,Super Mario Bros.,1993,Annabel Jankel,Bob Hoskins,104,0,42000000,20915465,4.0,38203,290,36,5,0,5000,7723
595,Lord of War,2005,Andrew Niccol,Nicolas Cage,122,2,50000000,24127895,7.6,248123,437,168,487,10000,12000,12076
596,One for the Money,2012,Julie Anne Robinson,Fisher Stevens,91,1,40000000,26404753,5.3,34203,169,127,30,19000,922,3301
597,The Interview,2014,Evan Goldberg,James Franco,112,4,44000000,6105175,6.6,247020,835,293,133,50000,11000,12239
598,The Warrior's Way,2010,Sngmoo Lee,Tony Cox,100,1,45000000,5664251,6.3,22309,102,95,19,0,624,2056
599,8 Mile,2002,Curtis Hanson,Mekhi Phifer,110,0,41000000,116724075,7.0,187181,564,119,161,0,1000,1954
600,A Knight's Tale,2001,Brian Helgeland,Heath Ledger,144,1,65000000,56083966,6.9,137003,658,167,241,0,13000,18761
601,Man on a Ledge,2012,Asger Leth,Robert Clohessy,102,6,42000000,18600911,6.6,125198,153,258,20,11000,107,362
602,The Big Year,2011,David Frankel,Joel McHale,100,0,41000000,7204138,6.2,34809,125,108,64,11000,734,2085
603,The Karate Kid,1984,John G. Avildsen,Martin Kove,126,0,8000000,90800000,7.2,126907,235,81,80,0,668,2004
604,Double Jeopardy,1999,Bruce Beresford,Bruce Greenwood,105,0,70000000,116735231,6.4,56646,336,129,78,0,984,2129
605,Back to the Future Part II,1989,Robert Zemeckis,Lea Thompson,108,0,40000000,118500000,7.8,340085,327,125,0,12000,1000,3660
606,Spy Kids 3-D: Game Over,2003,Robert Rodriguez,Sylvester Stallone,84,3,38000000,111760631,4.1,40227,188,93,0,681,13000,22935
607,A Time to Kill,1996,Joel Schumacher,Kevin Spacey,149,3,40000000,108706165,7.4,99558,236,71,541,0,18000,31349
608,Lone Survivor,2013,Peter Berg,Jerry Ferrara,121,0,40000000,125069696,7.6,203963,420,319,532,58000,480,1261
609,A League of Their Own,1992,Penny Marshall,Tom Hanks,128,3,40000000,107458785,7.2,71754,166,41,545,0,15000,16751
610,The Conjuring 2,2016,James Wan,Javier Botet,134,0,40000000,102310175,7.8,64989,279,300,0,40000,1000,2676
611,The Social Network,2010,David Fincher,Andrew Garfield,120,0,40000000,96917897,7.7,479453,696,556,21000,74000,10000,10555
612,He's Just Not That Into You,2009,Ken Kwapis,Carmen Perez,129,7,40000000,93952276,6.4,132048,203,161,42,12000,97,318
613,Scary Movie 4,2006,David Zucker,Beau Mirchoff,89,8,45000000,90703745,5.1,93748,410,151,119,1000,2000,5855
614,Scream 3,2000,Wes Craven,Kelly Rutherford,116,4,40000000,89138076,5.5,98535,734,212,0,0,287,600
615,Back to the Future Part III,1990,Robert Zemeckis,Lea Thompson,118,0,40000000,87666629,7.4,283480,263,111,0,0,1000,3986
616,Get Hard,2015,Etan Cohen,Will Ferrell,107,2,40000000,90353764,6.0,85629,144,173,164,14000,8000,12556
617,Bram Stoker's Dracula,1992,Francis Ford Coppola,Keanu Reeves,155,0,40000000,82522790,7.5,143835,654,181,0,14000,18000,42220
618,Julie & Julia,2009,Nora Ephron,Meryl Streep,123,2,40000000,94125426,7.0,79264,277,252,0,13000,11000,13321
619,42,2013,Brian Helgeland,Harrison Ford,128,0,40000000,95001343,7.5,66511,200,216,241,28000,11000,16911
620,The Talented Mr. Ripley,1999,Anthony Minghella,Philip Seymour Hoffman,139,1,40000000,81292135,7.3,137891,696,203,333,0,22000,36810
621,Dumb and Dumber To,2014,Bobby Farrelly,Bill Murray,109,1,35000000,86208010,5.7,97045,285,218,101,55000,13000,16179
622,Eight Below,2006,Frank Marshall,Paul Walker,120,1,40000000,81593527,7.3,48806,263,118,155,11000,23000,24300
623,The Intern,2015,Nancy Meyers,Robert De Niro,121,2,35000000,75274748,7.2,130661,304,241,278,54000,22000,36010
624,Ride Along 2,2016,Tim Story,Olivia Munn,102,0,40000000,90835030,5.9,28621,58,119,167,0,2000,5178
625,The Last of the Mohicans,1992,Michael Mann,Wes Studi,117,1,40000000,72455275,7.8,113068,382,89,0,0,855,2144
626,Ray,2004,Taylor Hackford,Bokeem Woodbine,178,0,40000000,75305995,7.7,110394,433,209,138,0,904,5074
627,Sin City,2005,Frank Miller,Rosario Dawson,147,1,40000000,74098862,8.1,656640,1732,374,436,13000,3000,3924
628,Vantage Point,2008,Pete Travis,Dennis Quaid,90,4,40000000,72266306,6.6,127528,422,235,38,0,2000,6775
629,"I Love You, Man",2009,John Hamburg,J.K. Simmons,105,2,40000000,71347010,7.1,166194,215,215,29,0,24000,28928
630,Shallow Hal,2001,Bobby Farrelly,Jason Alexander,114,2,40000000,70836296,5.9,109445,426,109,101,0,700,2842
631,Big Momma's House 2,2006,John Whitesell,Chlo Grace Moretz,99,0,40000000,70163652,4.6,31968,82,65,14,663,17000,19334
632,The Mexican,2001,Gore Verbinski,J.K. Simmons,123,0,34000000,66808615,6.1,87351,344,125,563,2000,24000,43917
634,17 Again,2009,Burr Steers,Matthew Perry,102,1,20000000,64149837,6.4,146899,185,191,23,0,2000,7009
635,The Other Woman,2014,Nick Cassavetes,Don Johnson,109,2,40000000,83906114,6.0,104481,189,191,415,16000,982,2357
636,Bridge of Spies,2015,Steven Spielberg,Tom Hanks,142,0,40000000,72306065,7.6,178118,355,459,14000,55000,15000,16944
