movie_title,title_year,genres,plot_keywords,movie_imdb_link,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language,country,facenumber_in_poster,aspect_ratio,content_rating,budget,gross,imdb_score,num_voted_users,num_user_for_reviews,num_critic_for_reviews,director_facebook_likes,movie_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes
Any Given Sunday,1999,Drama|Sport,breasts|coach|football|in medias res|vomiting,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,Color,156,English,USA,5,2.35,R,55000000,75530832,6.8,97047,452,171,0,0,14000,2000,1000,20761
The Horse Whisperer,1998,Drama|Romance|Western,grace|groom|horse|montana|western u.s.,http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Color,170,English,USA,0,1.85,PG-13,60000000,75370763,6.5,32353,263,96,0,0,19000,1000,380,20683
Collateral,2004,Crime|Drama|Thriller,city by night|contract killer|driving at night|los angeles california|taxi,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Color,120,English,USA,0,2.35,R,65000000,100003492,7.6,293662,836,299,0,0,10000,851,680,13581
The Scorpion King,2002,Action|Adventure|Fantasy|Thriller,desert|king|showdown|sorceress|warrior,http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1,Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Color,100,English,USA,4,2.35,PG-13,60000000,90341670,5.5,102129,432,167,55,0,12000,1000,416,14611
Ladder 49,2004,Action|Drama|Thriller,death of husband|fire|firefighter|funeral|main character dies,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,Color,115,English,USA,2,1.85,PG-13,55000000,74540762,6.5,48753,323,125,13,0,2000,1000,579,4496
Jack Reacher,2012,Action|Crime|Mystery|Thriller,coma|mysterious villain|police chase|shooting range|sniper,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,Color,130,English,USA,2,2.35,PG-13,60000000,80033643,7,226570,448,387,188,38000,10000,3000,1000,16385
Deep Blue Sea,1999,Action|Sci-Fi|Thriller,alzheimer's disease|experiment|human versus shark|research|underwater headquarters,http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1,Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,Color,105,English,USA,1,2.35,R,60000000,73648142,5.8,99043,643,199,212,0,1000,975,811,3697
This Is It,2009,Documentary|Music,2000s|box office hit|comeback|rehearsal|year 2009,http://www.imdb.com/title/tt1477715/?ref_=fn_tt_tt_1,Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Color,111,English,USA,0,1.78,PG,60000000,71844424,7.3,33158,223,136,197,0,433,208,6,679
Contagion,2011,Drama|Thriller,contagion|cure|infection|panic|virus,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Color,106,English,USA,4,1.85,PG-13,60000000,75638743,6.6,180479,411,436,0,42000,13000,240,175,13634
Kangaroo Jack,2003,Action|Adventure|Comedy|Crime,australia|body paint|kangaroo|mob|money,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Color,89,English,USA,0,2.35,PG,60000000,66734992,4.4,23476,181,73,18,858,658,257,226,1233
Coraline,2009,Animation|Family|Fantasy,dream|new home|parallel worlds|scissors|secret door,http://www.imdb.com/title/tt0327597/?ref_=fn_tt_tt_1,Henry Selick,Jennifer Saunders,Dawn French,John Hodgman, Black and White,100,English,USA,1,1.85,PG,60000000,75280058,7.7,143121,279,310,253,10000,309,229,57,647
The Happening,2008,Sci-Fi|Thriller,bee|nature|park|school|teacher,http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1,M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Color,91,English,USA,0,1.85,R,48000000,64505912,5,163130,1264,323,0,6000,11000,946,751,13654
Man on Fire,2004,Action|Crime|Drama|Thriller,bodyguard|journalist|kidnapping|mexico|police corruption,http://www.imdb.com/title/tt0328107/?ref_=fn_tt_tt_1,Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Color,146,English,USA,2,2.35,R,70000000,77862546,7.7,266310,690,171,12000,14000,18000,992,451,20454
The Shaggy Dog,2006,Comedy|Family|Fantasy,animal as human|dog movie|elevator|human becoming an animal|sheepdog,http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1,Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Color,98,English,USA,0,2.35,PG,50000000,61112916,4.4,14888,83,76,48,747,21000,936,722,24664
Starsky & Hutch,2004,Comedy|Crime,cocaine|cop|criminal|partner|police,http://www.imdb.com/title/tt0335438/?ref_=fn_tt_tt_1,Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Color,101,English,USA,5,2.35,PG-13,60000000,88200225,6.1,120795,308,173,480,0,881,869,767,3943
Jingle All the Way,1996,Comedy|Family,action figure|christmas|hero|karate|toy,http://www.imdb.com/title/tt0116705/?ref_=fn_tt_tt_1,Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Color,94,English,USA,1,1.85,PG,60000000,60573641,5.4,68406,162,81,32,0,854,628,626,4530
Hellboy,2004,Action|Fantasy|Horror|Sci-Fi,assassin|demon|hero|nazi|superhero,http://www.imdb.com/title/tt0167190/?ref_=fn_tt_tt_1,Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Color,132,English,USA,1,1.85,PG-13,66000000,59035104,6.8,244566,597,242,0,0,366,334,160,1112
A Civil Action,1998,Drama,1980s|law firm|lawsuit|lawyer|toxic waste,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Color,115,English,USA,1,2.35,PG-13,60000000,56702901,6.5,23302,181,110,234,1000,3000,552,521,4713
ParaNorman,2012,Adventure|Animation|Comedy|Family|Fantasy,curse|ghost|outcast|witch|zombie,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Color,92,English,USA,0,2.35,PG,60000000,55994557,7,72287,176,328,28,12000,10000,884,586,13597
The Jackal,1997,Action|Adventure|Crime|Thriller,assassin|fbi|ira|jackal|russian,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1,Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Color,124,English,USA,0,2.35,R,60000000,54910560,6.3,88225,227,83,105,0,24000,13000,460,38227
Paycheck,2003,Action|Mystery|Sci-Fi|Thriller,anti hero|babe scientist|engineer|memory|money,http://www.imdb.com/title/tt0338337/?ref_=fn_tt_tt_1,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Color,119,English,USA,0,2.35,PG-13,60000000,53789313,6.3,89816,347,196,610,0,834,780,716,3637
Up Close & Personal,1996,Drama|Romance,journalism|news anchor|newscast|newscaster|tv journalism,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Color,124,English,USA,2,1.85,PG-13,60000000,51045801,6.1,11370,54,34,50,829,1000,944,672,3653
The Tale of Despereaux,2008,Adventure|Animation|Comedy|Family|Fantasy,book|darkness|dungeon|princess|rat,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1,Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Color,93,English,UK,0,2.35,G,60000000,50818750,6.1,31209,106,118,18,0,9000,2000,903,13403
The Tuxedo,2002,Action|Comedy|Sci-Fi,chauffeur|hospital|secret agent|spying|tuxedo,http://www.imdb.com/title/tt0290095/?ref_=fn_tt_tt_1,Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Color,98,English,USA,2,1.85,PG-13,60000000,50189179,5.3,61966,207,81,11,797,966,680,107,2018
Under Siege 2: Dark Territory,1995,Action|Thriller,colorado|niece|satellite|terrorist|train,http://www.imdb.com/title/tt0114781/?ref_=fn_tt_tt_1,Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Color,92,English,USA,1,1.85,R,60000000,50024083,5.4,35918,126,47,14,1000,789,520,488,2318
Jack Ryan: Shadow Recruit,2014,Action|Drama|Thriller,covert analyst|marine|russian|spy|stock market,http://www.imdb.com/title/tt1205537/?ref_=fn_tt_tt_1,Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Color,105,English,USA,3,2.35,PG-13,60000000,50549107,6.2,99035,289,313,0,17000,539,394,288,1411
London Has Fallen,2016,Action|Crime|Drama|Thriller,british|funeral|good versus evil|mole|sequel,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Color,99,English,UK,3,2.35,R,60000000,62401264,5.9,69484,323,225,24,28000,18000,992,864,20276
Alien: Resurrection,1997,Action|Horror|Sci-Fi,alien|blood|breeding|clone|scientist,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1,Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Color,116,English,USA,0,2.35,R,75000000,47748610,6.3,170179,656,223,0,0,1000,720,672,3090
Shooter,2007,Action|Crime|Drama|Mystery|Thriller,colonel|ethiopia|marksman|on the run|rangefinder,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Color,124,English,USA,0,2.35,R,61000000,46975183,7.2,256213,338,198,845,0,650,467,295,1640
The Boxtrolls,2014,Adventure|Animation|Comedy|Family|Fantasy,chase|puppet animation|red hat|stop motion animation|troll,http://www.imdb.com/title/tt0787474/?ref_=fn_tt_tt_1,Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Color,96,English,USA,3,1.85,PG,60000000,50807639,6.8,40883,122,219,7,11000,874,668,642,3151
Practical Magic,1998,Comedy|Drama|Fantasy|Romance,curse|death|island|love|magic,http://www.imdb.com/title/tt0120791/?ref_=fn_tt_tt_1,Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Color,104,English,USA,1,2.35,PG-13,48000000,46611204,6.1,55749,257,92,165,0,1000,967,944,4294
Miss Congeniality 2: Armed and Fabulous,2005,Action|Comedy|Crime,bodyguard|fbi|fbi agent|female protagonist|undercover,http://www.imdb.com/title/tt0385307/?ref_=fn_tt_tt_1,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Color,115,English,USA,2,2.35,PG-13,45000000,48472213,5,51252,156,111,11,621,1000,759,642,4305
Reign of Fire,2002,Action|Adventure|Fantasy|Sci-Fi|Thriller,castle|dragon|fire breathing dragon|militia|survival,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1,Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Color,101,English,USA,0,2.35,PG-13,60000000,43060566,6.2,107859,569,138,38,0,23000,18000,11000,53024
Year One,2009,Adventure|Comedy,abraham|hunter|princess|sodom|tribe,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Color,100,English,USA,2,1.85,PG-13,60000000,43337279,4.9,76770,203,170,11000,0,10000,1000,485,12258
Invictus,2009,Biography|Drama|History|Sport,apartheid|nation|nelson mandela|president|rugby,http://www.imdb.com/title/tt1057500/?ref_=fn_tt_tt_1,Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Color,134,English,USA,1,2.35,PG-13,60000000,37479778,7.4,124222,259,306,16000,23000,13000,11000,204,24458
Duplicity,2009,Comedy|Crime|Romance|Thriller,ceo|dubai|product|rivalry|spy,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1,Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,Color,125,English,USA,0,2.35,PG-13,60000000,40559930,6.2,41727,184,211,209,0,8000,1000,896,10623
My Favorite Martian,1999,Comedy|Family|Sci-Fi,alien|hidden camera|martian|reporter|spaceship,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Color,94,English,USA,2,1.85,PG,65000000,36830057,4.9,10883,73,49,80,448,1000,417,230,2151
The Sentinel,2006,Action|Crime|Thriller,first lady|framed|investigation|president|secret service,http://www.imdb.com/title/tt0443632/?ref_=fn_tt_tt_1,Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Color,107,English,USA,0,2.35,PG-13,60000000,36279230,6.1,42144,213,161,69,690,310,219,206,1352
Star Trek: Nemesis,2002,Action|Adventure|Sci-Fi|Thriller,earth|federation|romulan|slave|space,http://www.imdb.com/title/tt0253754/?ref_=fn_tt_tt_1,Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Color,116,English,USA,0,2.35,PG-13,60000000,43119879,6.4,58450,842,172,53,0,27000,1000,906,31224
Intolerable Cruelty,2003,Comedy|Crime|Romance,attorney|divorce|marriage|real estate|screwball comedy,http://www.imdb.com/title/tt0138524/?ref_=fn_tt_tt_1,Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Color,100,English,USA,1,1.85,PG-13,60000000,35096190,6.3,76560,322,161,0,0,436,399,210,1395
Edge of Darkness,2010,Crime|Drama|Mystery|Thriller,activist|detective|father daughter relationship|investigation|vigilantism,http://www.imdb.com/title/tt1226273/?ref_=fn_tt_tt_1,Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Color,117,English,UK,1,2.35,R,80000000,43290977,6.6,75201,256,258,258,0,2000,1000,896,7053
The Relic,1997,Horror|Mystery|Sci-Fi|Thriller,fire|helicopter|museum|police sergeant|relic,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1,Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Color,110,English,UK,0,2.35,R,40000000,33927476,5.7,19176,165,95,0,956,510,344,308,1976
Analyze That,2002,Comedy|Crime,blonde|mafia|mental illness|prison|second part,http://www.imdb.com/title/tt0289848/?ref_=fn_tt_tt_1,Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,Color,96,English,USA,1,1.85,R,60000000,32122249,5.9,69319,138,105,11000,846,22000,394,236,22889
Righteous Kill,2008,Action|Crime|Drama|Mystery|Thriller,blood splatter|execution|new york city|nypd|serial killer,http://www.imdb.com/title/tt1034331/?ref_=fn_tt_tt_1,Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Color,101,English,USA,2,2.35,R,60000000,40076438,6,73368,248,198,50,0,22000,14000,1000,38809
Mercury Rising,1998,Action|Crime|Drama|Thriller,autistic child|boy|child in danger|fbi|nsa,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,Color,111,English,USA,1,2.35,R,60000000,32940507,6.1,54314,127,79,17,0,13000,968,652,16536
The Soloist,2009,Biography|Drama|Music,columnist|journalist|los angeles times|musician|wearing a traffic cone as a hat,http://www.imdb.com/title/tt0821642/?ref_=fn_tt_tt_1,Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,Color,117,English,UK,0,2.35,PG-13,60000000,31670931,6.7,44099,143,210,456,0,21000,939,569,23745
The Legend of Bagger Vance,2000,Drama|Fantasy|Sport,caddy|game|golf|golf course|golfer,http://www.imdb.com/title/tt0146984/?ref_=fn_tt_tt_1,Robert Redford,Matt Damon,Will Smith,Charlize Theron,Color,126,English,USA,3,1.85,PG-13,60000000,30695227,6.7,45296,267,125,0,0,13000,10000,9000,34774
Almost Famous,2000,Adventure|Comedy|Drama|Music,band|magazine|rolling stone magazine|smoking marijuana|tour,http://www.imdb.com/title/tt0181875/?ref_=fn_tt_tt_1,Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Color,152,English,USA,1,1.85,R,60000000,32522352,7.9,207287,822,149,488,15000,22000,11000,947,36897
xXx: State of the Union,2005,Action|Adventure|Crime|Thriller,coup d'etat|mutiny|president|u.s. navy|washington d.c.,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1,Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Color,101,English,USA,2,2.35,PG-13,87000000,26082914,4.3,51349,213,77,93,0,287,233,218,993
Priest,2011,Action|Fantasy|Horror|Sci-Fi|Thriller,church|priest|sheriff|vampire|warrior,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Color,87,English,USA,0,2.35,PG-13,60000000,29136626,5.7,97089,233,225,124,20000,865,441,77,1417
Sinbad: Legend of the Seven Seas,2003,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,book|framed|goddess|prince|sinbad,http://www.imdb.com/title/tt0165982/?ref_=fn_tt_tt_1,Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Color,85,English,USA,0,1.66,PG,60000000,26288320,6.7,36144,91,98,0,880,11000,102,82,11301
Event Horizon,1997,Horror|Sci-Fi|Thriller,solar system|space|spaceship|starship|year 2047,http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1,Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Color,130,English,UK,0,2.35,R,60000000,26616590,6.7,120416,857,172,545,10000,722,585,552,2525
Dragonfly,2002,Drama|Fantasy|Mystery|Romance|Thriller,death|doctor|grave|patient|venezuela,http://www.imdb.com/title/tt0259288/?ref_=fn_tt_tt_1,Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Color,104,English,USA,0,2.35,PG-13,60000000,30063805,6.1,31788,243,117,293,0,780,265,256,2109
Flyboys,2006,Action|Adventure|Drama|History|Romance|War,american|france|military|pilot|training,http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1,Tony Bill,James Franco,Tyler Labine,Philip Winchester, Black and White,140,English,UK,1,2.35,PG-13,60000000,13082288,6.6,35565,247,123,23,2000,11000,779,579,12634
The Last Castle,2001,Action|Drama|Thriller,colonel|general|military|prison|three star general,http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1,Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Color,131,English,USA,3,2.35,R,60000000,18208078,6.9,57100,281,110,37,0,968,848,507,3012
Supernova,2000,Horror|Sci-Fi|Thriller,deep space|distress signal|explosion|mining|rescue,http://www.imdb.com/title/tt0134983/?ref_=fn_tt_tt_1,Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,Color,91,English,USA,0,2.35,PG-13,65000000,14218868,4.8,14596,282,100,394,589,889,290,68,1262
Winter's Tale,2014,Drama|Fantasy|Mystery|Romance,black and white photograph|drawing with blood|falling through ice|playing piano|red haired woman,http://www.imdb.com/title/tt1837709/?ref_=fn_tt_tt_1,Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,Color,118,English,USA,0,2.35,PG-13,60000000,22451,6.2,41288,126,189,167,17000,20000,882,778,22447
The Mortal Instruments: City of Bones,2013,Fantasy|Horror|Mystery|Romance,battle|demon|magic|secret|warrior,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1,Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,Color,130,English,USA,3,2.35,PG-13,60000000,31165421,6,107028,457,212,91,44000,5000,2000,1000,10247
Meet Dave,2008,Adventure|Comedy|Family|Romance|Sci-Fi,alien|mutiny|orb|planet|spaceship,http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1,Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,Color,90,English,USA,1,1.85,PG,60000000,11802056,4.9,31640,109,127,48,791,973,400,196,1865
Dark Water,2005,Drama|Horror|Thriller,apartment|hello kitty|school|teacher|water,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1,Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,Color,103,English,USA,2,2.35,PG-13,30000000,25472967,5.6,44966,411,196,179,0,794,329,87,1467
Edtv,1999,Comedy|Drama,female removes her clothes|one word title|producer|television|video store,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,Color,122,English,USA,0,1.85,PG-13,55000000,22362500,6.1,35599,195,115,2000,641,11000,1000,1000,15275
The Spirit,2008,Action|Crime|Fantasy|Thriller,female star appears nude|pants falling down|samurai|white rat|woman in a towel,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1,Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,Color,103,English,USA,1,2.35,PG-13,60000000,19781879,4.8,53864,290,223,436,2000,19000,961,437,20881
Beyond Borders,2003,Adventure|Drama|Romance|War,africa|american|border|doctor|well,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1,Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Color,127,English,USA,2,2.35,R,35000000,4426297,6.5,22570,156,54,258,0,11000,708,617,12947
Holy Man,1998,Comedy|Drama,1990s|evangelist|professional rivalry|swimming pool|televangelist,http://www.imdb.com/title/tt0120701/?ref_=fn_tt_tt_1,Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,Color,114,English,USA,1,2.35,PG,60000000,12065985,4.9,16260,88,56,65,296,743,730,440,2367
Goosebumps,2015,Adventure|Comedy|Family|Fantasy|Horror,based on book|blob|ferris wheel|manuscript|monster,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,Color,103,English,USA,4,2.35,PG,58000000,80021740,6.4,47968,154,218,11,35000,2000,1000,543,5497
Just Like Heaven,2005,Comedy|Fantasy|Romance,apartment|architect|coma|doctor|spirit,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1,Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,Color,95,English,USA,1,1.85,PG-13,58000000,48291624,6.7,82819,263,142,70,0,970,834,512,2876
The Flintstones in Viva Rock Vegas,2000,Comedy|Family|Romance|Sci-Fi,based on tv series|love|prequel|the flintstones|title appears in song,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,Color,90,English,USA,0,1.85,PG,60000000,35231365,3.6,15517,85,57,32,500,1000,891,809,6299
Rambo III,1988,Action|Adventure|Thriller|War,afghanistan|colonel|rambo|rescue|soviet,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Color,87,English,USA,1,2.35,R,63000000,53715611,5.7,92106,171,84,10,2000,13000,1000,349,14574
Leatherheads,2008,Comedy|Drama|Romance|Sport,college football|fight|football|hero|surrender,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1,George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,Color,114,English,USA,8,1.85,PG-13,58000000,31199215,6,27664,120,186,0,472,142,117,110,589
Did You Hear About the Morgans?,2009,Comedy|Drama|Romance,fbi|murder|witness|witness protection|wyoming,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1,Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,Color,103,English,USA,2,2.35,PG-13,58000000,29580087,4.7,29523,121,133,30,0,963,935,727,3150
The Internship,2013,Comedy,actor's picture shown in credits|animated credits|google|internship|still images in end credits,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Color,125,English,USA,2,2.35,PG-13,58000000,44665963,6.3,159931,281,246,189,22000,1000,847,839,5081
Red Tails,2012,Action|Adventure|Drama|History|War,african american|battle|italy|tuskegee airmen|world war two,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Color,125,English,USA,0,2.35,PG-13,58000000,49875589,5.9,28807,273,144,143,0,1000,664,519,4416
The Devil's Advocate,1997,Drama|Mystery|Thriller,deal with the devil|lawyer|money|reality|supernatural power,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Color,136,English,USA,2,2.35,R,57000000,60984028,7.5,259519,431,117,138,11000,18000,14000,9000,45271
That's My Boy,2012,Comedy,argument|reference to vanilla ice|statutory rape|teacher student relationship|teacher student sex,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Color,116,English,USA,2,2.35,R,70000000,36931089,5.6,70681,198,157,51,12000,11000,3000,622,16484
DragonHeart,1996,Action|Adventure|Fantasy,dragon|england|human dragon relationship|king|knight,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,Color,103,English,USA,0,2.35,PG-13,57000000,51317350,6.4,78343,139,60,357,0,2000,663,40,2710
After the Sunset,2004,Action|Comedy|Crime|Drama,diamond|fbi|fbi agent|island|thief,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,Color,97,English,USA,2,2.35,PG-13,58000000,28328132,6.3,38298,147,117,420,782,4000,3000,455,9814
Ghost Rider: Spirit of Vengeance,2011,Action|Fantasy|Thriller,deal with the devil|devil|eastern europe|ghost rider|monk,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,Color,96,English,USA,1,2.35,PG-13,57000000,51774002,4.3,87745,331,287,83,18000,12000,1000,1000,16121
Captain Corelli's Mandolin,2001,Drama|Music|Romance|War,captain|greek|island|italian|love,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,Color,131,English,UK,2,2.35,R,57000000,25528495,5.9,28099,220,96,108,0,23000,243,58,23325
The Pacifier,2005,Action|Comedy|Drama|Family|Thriller,bodyguard|death of husband|male nanny|nanny|wrestling match,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,Color,95,English,Canada,0,2.35,PG,56000000,113006880,5.5,66308,225,125,163,0,14000,799,650,16884
Walking Tall,2004,Action|Crime,casino|football|sheriff|special forces|violence,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Color,86,English,USA,1,2.35,PG-13,56000000,45860039,6.2,53118,221,117,10,0,12000,795,348,14146
The Nutty Professor,1996,Comedy|Romance|Sci-Fi,face slap|formula|overweight|professor|teacher,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,Color,95,English,USA,1,1.85,PG-13,54000000,128769345,5.6,86556,99,57,293,960,851,773,744,3155
